iteration,r2,r2_oob
0,0.888694047122654,0.280134426706145
1,0.882544536123644,0.239678210843106
2,0.862372857867328,0.2438920874381
3,0.893097966239836,0.292618677285552
4,0.8859804830387,0.241546908669948
5,0.885845212323438,0.257649051727382
6,0.883778339208813,0.253926779300817
7,0.883902494508395,0.239043916561197
8,0.8865596349013,0.245878288782365
9,0.862312619776039,0.263120321728271
10,0.884375916009879,0.248940943194795
11,0.885124383771096,0.261253863197416
12,0.885566060395036,0.249281934982394
13,0.889576971265692,0.274532171249222
14,0.884016260019456,0.244838649179402
15,0.88155391110779,0.224145398696142
16,0.864231342139248,0.25534940683468
17,0.887990836840795,0.273820696386552
18,0.886442084392246,0.258416283775453
19,0.86581891035827,0.272514210942666
20,0.884652956947698,0.247705956201191
21,0.887120594884873,0.267707942866875
22,0.887984246712914,0.27425719219061
23,0.883643563225741,0.238943404506991
24,0.864064574074176,0.249117000734718
25,0.884574227090903,0.247246307901453
26,0.86845143242888,0.282022210234805
27,0.883051717291728,0.233553521891355
28,0.887665250604227,0.268455145064437
29,0.887674528144084,0.264546927865136
30,0.88390432638694,0.250898077996594
