PB2_Iceland_Atlantic_Spring,HGS19_TeelinBay_Atlantic_Winter,HGS21_Hebrides_Atlantic_Mixed,HGS18_CelticSea_Atlantic_AutumnWinter,HGS20_CapeWrath_Atlantic_Spring,HGS23_Clyde_Atlantic_Spring,HGS22_CapeWrath_Atlantic_Autumn,HGS17_IsleOfMan_IrishSea_Autumn,HGS16_Orkney_NorthSea_Autumn,HGS10_Downs_EnglishChannel_Winter,HGS25_Lindas_Atlantic_Spring,N_NorthSea_Atlantic_Autumn,HGS27_Gloppen_Atlantic_Spring,HGS26_Lusterfjorden_Atlantic_Spring,HGS11_RingkobingFjord_NorthSea_Spring,HGS24_Landvik_Atlantic_Spring,HGS15_NSSH_Atlantic_Spring,HGS6_Schlei_Baltic_Spring,Q_Norway_Atlantic_Atlantic_Spring,O_Hamburgsund_Atlantic_Spring,PB10_Skagerrak_Atlantic_Spring,H_Fehmarn_Baltic_Autumn,HGS8_KattegatNorth_Atlantic_Spring,PB9_Kattegat_Atlantic_Spring,J_Traslovslage_Baltic_Spring,HGS71_Rugen_Baltic_Spring,TysklandS18_Germany_Baltic,HGS12_BornholmBasin_Baltic_Autumn,PB12_Karlskrona_Baltic_Spring,PN3_CentralBaltic_Baltic_Spring,G_Gamleby_Baltic_Spring,PB11_Kalmar_Baltic_Spring,PB5_Galve_Baltic_Spring,PB4_Hudiksvall_Baltic_Spring,PB1_HastKar_Baltic_Spring,B_Vaxholm_Baltic_Spring,A_Kalix_Baltic_Spring,HGS2_Riga_Baltic_Spring
0,0.0269415578485028,0.0276437707592285,0.0302487348280654,0.0282872764171434,0.0293103122678701,0.0277240178783511,0.0259871742598883,0.0278710962058249,0.0272067670745888,0.0286334381618497,0.0267373678289148,0.0299626371811802,0.0317168785352413,0.0318077965383629,0.0301569606615841,0.0245366531500443,0.0304708133638733,0.0217199940795288,0.0253905190856069,0.0250447511886358,0.0248020139133465,0.0356384149717333,0.0262399157464675,0.0312087570169054,0.0427257147557013,0.0302565734103004,0.0291575413072176,0.028877329362122,0.0295341016951638,0.0297002802301569,0.0275166410665143,0.0308642559521701,0.0268444242750305,0.0307941747415557,0.0291928871654949,0.0297714975194624,0.026209934133524
0.0269415578485028,0,0.0248770393859801,0.0271411962786327,0.0261770873615457,0.027160812144689,0.025186683286272,0.0231622962326183,0.0254836503394608,0.0241102555984655,0.0268514414142646,0.0253562345745278,0.0281991572454029,0.029854691980659,0.0297947695515325,0.0279706778381577,0.0236301871548447,0.0288600366685364,0.0221298027493515,0.0249264467695732,0.0248872763124393,0.0244509725423464,0.0338498878907423,0.0258257799543721,0.0307850156198591,0.0413280763243333,0.0294193406373725,0.0272550609056963,0.0290509711036243,0.0294530500100303,0.0292573339342878,0.0273129551849288,0.0309550362073054,0.0270236934686021,0.0308316112038296,0.0289679416489067,0.0296729528619988,0.0247980195602385
0.0276437707592285,0.0248770393859801,0,0.0278299127012476,0.0268316044023722,0.0278213493206201,0.025328558480817,0.0236794540286314,0.0256708341931871,0.0247239801099516,0.0274145604644282,0.0258401446339122,0.0287760831830616,0.0305241024018324,0.0303150094493842,0.0285469564811439,0.0242587663824191,0.0294289629350203,0.0227712367227065,0.0255552662696639,0.0254281721102624,0.0249689105372474,0.0344034866906392,0.0264904542077273,0.031399458495685,0.0418138830942254,0.0299324808673201,0.0278370233182895,0.0295874071288419,0.0300507925556193,0.0297823675294737,0.0279181839168721,0.0315150262290562,0.0275697124745684,0.0313751419023611,0.0294386907598344,0.0302791215839076,0.0253669044705282
0.0302487348280654,0.0271411962786327,0.0278299127012476,0,0.029215626197631,0.0301712601901532,0.0281413829666605,0.0258769793327773,0.0284876395359896,0.0266692190232355,0.029861515627811,0.0283323421377776,0.0312876975590351,0.0330074009155322,0.0327321316564287,0.0309740222301711,0.0267725363253515,0.0318692539699442,0.0254239490737404,0.0279215835925841,0.0279367505041717,0.0274244412472638,0.0367965711135349,0.0288028425974454,0.033840235120299,0.0443860931202796,0.0323553323736414,0.030395571517715,0.032028838412809,0.0325576879882176,0.0323565906794937,0.0303271254436604,0.0340963701884646,0.0299945317749167,0.0339210320667938,0.0319083315528112,0.0327811723623238,0.027705440777584
0.0282872764171434,0.0261770873615457,0.0268316044023722,0.029215626197631,0,0.0286705177271629,0.0270751483868299,0.025134995911211,0.0274065915811003,0.0260822752485497,0.0283818565551058,0.0273209210192972,0.029616643773769,0.0312579914282671,0.031391784205259,0.0295420388245246,0.0248031300984288,0.0303372459215449,0.0233728234021977,0.0264182745466398,0.026430937874858,0.0260155976585225,0.0354622874823283,0.027452567898194,0.0324193203964703,0.0427895716490204,0.0308791532262752,0.0288792410497894,0.0305340695384616,0.0308948754749906,0.0307292555458869,0.0287990949218925,0.0324420862966203,0.0284457412787887,0.0322647958202435,0.0304251902960583,0.0312352385268037,0.0261672860306781
0.0293103122678701,0.027160812144689,0.0278213493206201,0.0301712601901532,0.0286705177271629,0,0.0281027972077535,0.0258958067647891,0.0284027319718441,0.0270050695901688,0.0290519210720438,0.028148669616449,0.0301709398871556,0.0319961323452587,0.0321060345484246,0.0303818788759236,0.0258718950588624,0.0310362032127333,0.0242652709964435,0.027161385462753,0.0273480530960929,0.0270233105832479,0.035832073708615,0.0283307670045363,0.0331256002166315,0.0432341323999906,0.0318091115460525,0.0299190187591708,0.0315401787893034,0.0318900397611287,0.0316066010289388,0.0298157263504462,0.0334373855778891,0.0294461882279662,0.0331736180249574,0.0312305601052679,0.0320475926851509,0.0269559406693284
0.0277240178783511,0.025186683286272,0.025328558480817,0.0281413829666605,0.0270751483868299,0.0281027972077535,0,0.0238348826214911,0.025615939619576,0.0249251180527835,0.0276295773222761,0.0260921463055535,0.0290039404546719,0.030589418499718,0.0304496363706023,0.0286245091507957,0.0243306978389396,0.0294428853726956,0.0229623011303773,0.025750469007777,0.0255675414946364,0.0251061537499086,0.0345475877085748,0.0266527697300716,0.0313697744101503,0.0418772787311289,0.0300664831155669,0.027939275346321,0.029659371371823,0.0300921578720378,0.0298607712971668,0.0279542743224164,0.0316704329446606,0.0276266795502217,0.0314780243486277,0.0294994828155071,0.0303030550038611,0.0253950428146853
0.0259871742598883,0.0231622962326183,0.0236794540286314,0.0258769793327773,0.025134995911211,0.0258958067647891,0.0238348826214911,0,0.0241855490614793,0.022665093051476,0.0257125062299439,0.0239891398411766,0.0270460897588217,0.0286737701700098,0.0285210406975297,0.0267305469818803,0.0226460275744235,0.0275615311989151,0.0211769833085102,0.0237642935421697,0.0237696522595826,0.0232816051558571,0.0324136451329227,0.0247206656946162,0.0295546250852648,0.0396763060907831,0.0281501830892923,0.0261536643967517,0.0278764644208618,0.0281682603424995,0.027965593779028,0.0261661496666908,0.0297833915099198,0.0258534064253772,0.0295957045547839,0.0276535043637297,0.0284421991127051,0.0236430167266405
0.0278710962058249,0.0254836503394608,0.0256708341931871,0.0284876395359896,0.0274065915811003,0.0284027319718441,0.025615939619576,0.0241855490614793,0,0.0252868738075504,0.027844273841664,0.0261861520045563,0.0291850812411711,0.0308175969425143,0.0306494217475973,0.0288930064152008,0.0243552232526582,0.0296538413381898,0.0230377689326242,0.0258572054377457,0.0258252524252159,0.0251854866447597,0.0347220539637986,0.0267526046358854,0.0315336081393607,0.0419468498780505,0.0302344460097924,0.0281715853289246,0.0298377923776494,0.0302676453269912,0.0299412487970453,0.0281186462179036,0.031739411910294,0.0278102628064593,0.0315707318227989,0.02972237951222,0.0304832069165099,0.0255782122403156
0.0272067670745888,0.0241102555984655,0.0247239801099516,0.0266692190232355,0.0260822752485497,0.0270050695901688,0.0249251180527835,0.022665093051476,0.0252868738075504,0,0.0268474677468207,0.0249303360319693,0.0282848372476104,0.0299220219756771,0.0294220907179443,0.0277987620584403,0.0236846864994032,0.0285575518553503,0.0221828959953824,0.0246450476645748,0.0246624317850313,0.0241204869530192,0.0336037323687236,0.0256142966623264,0.0304571341238347,0.0409919927711173,0.0290905961148524,0.0269978757542438,0.028796755070154,0.0291296770031444,0.0289536638277172,0.0270247386157497,0.0307102968872176,0.0267477083370268,0.0305752868782689,0.0286003539820753,0.0294727493389653,0.0244828668200462
